#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
269,-1.46%,53,-0.78%,349,-4.31%,539,314,,,
858,0.05%,498,-2.70%,111,-12.08%,333,314,,,
249,0.05%,496,-0.91%,328,-23.10%,121,315,,,
965,-0.09%,369,-0.44%,403,-19.39%,174,315,,,
935,-0.12%,335,-0.89%,333,-14.32%,280,316,,,
326,0.01%,458,-1.31%,265,-16.95%,227,317,,,
336,-0.42%,182,-3.39%,71,5.36%,697,317,,,
530,-0.52%,159,-1.46%,237,-3.44%,555,317,,,
490,-1.72%,40,-4.89%,35,31.73%,876,317,,,
952,-0.03%,418,-0.78%,350,-18.64%,185,318,,,
442,0.13%,571,-2.44%,132,-15.62%,251,318,,,
881,-0.06%,396,-1.20%,282,-14.43%,276,318,,,
652,-2.21%,20,-5.87%,24,39.69%,910,318,,,
312,-0.99%,84,-4.40%,44,21.11%,829,319,,,
107,0.25%,661,-1.56%,220,-26.11%,78,320,,,
592,0.38%,748,-3.37%,73,-21.90%,138,320,,,
104,-0.55%,150,2.48%,772,-28.21%,42,321,,,
822,-0.09%,375,-0.63%,371,-17.23%,222,323,,,
598,0.07%,517,-0.49%,395,-26.97%,60,324,,,
217,0.07%,520,-1.27%,275,-18.90%,180,325,,,
966,-0.24%,258,0.44%,545,-19.57%,173,325,,,
861,0.12%,566,-2.00%,172,-16.11%,240,326,,,
921,-0.10%,351,-4.72%,37,-1.68%,590,326,,,
393,0.19%,614,-0.88%,334,-29.57%,31,326,,,
512,-1.75%,35,-13.41%,3,57.94%,941,326,,,
226,-0.95%,91,-1.54%,225,3.41%,664,327,,,
399,-0.51%,162,1.52%,689,-22.39%,130,327,,,
955,-0.21%,274,0.26%,503,-17.90%,205,327,,,
406,0.37%,735,-1.60%,212,-28.83%,39,329,,,
488,-1.33%,60,-3.95%,53,29.80%,873,329,,,
193,-0.01%,439,-3.11%,89,-7.27%,461,330,,,
983,-0.38%,192,-0.61%,373,-8.75%,427,331,,,
851,-0.02%,428,-2.26%,146,-8.91%,420,331,,,
157,-5.71%,1,-13.78%,2,211.04%,992,332,,,
973,-0.08%,379,-1.42%,241,-10.71%,376,332,,,
8,-0.62%,135,-1.34%,255,-0.79%,607,332,,,
709,-0.58%,141,-0.82%,341,-5.32%,516,333,,,
656,-1.04%,81,-3.36%,74,25.45%,845,333,,,
164,-3.01%,11,-6.46%,19,107.27%,971,334,,,
160,-4.10%,4,-8.78%,10,180.13%,989,334,,,
53,0.13%,569,-1.27%,276,-20.56%,161,335,,,
750,-0.03%,422,-3.83%,56,-4.62%,530,336,,,
787,-0.03%,416,-6.11%,22,-2.88%,575,338,,,
214,-0.13%,327,-0.24%,433,-15.42%,255,338,,,
699,-0.81%,106,-2.66%,113,16.76%,799,339,,,
169,-3.42%,7,-4.38%,45,96.34%,966,339,,,
849,0.14%,575,-2.97%,95,-11.32%,352,341,,,
857,-0.16%,308,0.10%,480,-16.34%,235,341,,,
58,0.19%,622,-1.11%,295,-24.26%,110,342,,,
215,-0.09%,366,-0.41%,407,-15.40%,257,343,,,
439,-0.18%,292,0.10%,483,-15.42%,256,344,,,
80,0.32%,708,-1.01%,314,-31.81%,10,344,,,
595,-0.03%,424,0.58%,564,-28.03%,44,344,,,
820,-0.09%,373,-0.32%,424,-16.14%,239,345,,,
815,-0.23%,263,-0.68%,361,-9.29%,412,345,,,
523,-0.38%,193,-0.93%,325,-5.10%,521,346,,,
507,-1.19%,68,-4.09%,51,44.01%,920,346,,,
150,-2.33%,19,-4.59%,39,161.56%,982,347,,,
751,-0.19%,287,-1.52%,228,-4.92%,526,347,,,
756,-0.51%,163,-1.63%,208,3.82%,670,347,,,
543,-0.14%,323,-1.28%,271,-7.84%,448,347,,,
682,-3.87%,6,-3.83%,57,146.90%,979,347,,,
