#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
353,-0.26%,243,-0.64%,369,14.08%,789,467,,,
376,0.30%,692,-1.98%,174,-4.35%,538,468,,,
273,-1.27%,63,1.69%,710,1.01%,633,469,,,
683,-0.35%,203,-1.59%,215,191.48%,990,469,,,
848,0.25%,664,-0.86%,338,-9.30%,411,471,,,
661,-0.27%,232,-0.51%,389,15.21%,793,471,,,
572,0.15%,580,0.83%,607,-16.84%,228,472,,,
42,0.22%,640,0.50%,553,-17.21%,223,472,,,
433,-0.13%,331,0.00%,465,0.11%,622,473,,,
798,-0.03%,415,-1.55%,224,12.23%,779,473,,,
45,0.74%,897,-0.62%,372,-20.92%,150,473,,,
998,0.07%,518,-12.13%,4,35.03%,897,473,,,
615,0.36%,732,0.89%,618,-26.51%,71,474,,,
287,0.52%,816,-2.15%,155,-7.73%,450,474,,,
102,0.56%,833,0.60%,569,-30.45%,20,474,,,
987,0.54%,824,-1.29%,270,-12.24%,328,474,,,
405,-0.29%,220,3.42%,838,-11.02%,365,474,,,
988,-0.23%,264,3.27%,830,-12.19%,331,475,,,
917,0.00%,450,0.27%,505,-7.00%,470,475,,,
5,-0.28%,226,-0.18%,438,10.56%,761,475,,,
933,0.49%,801,-0.28%,428,-18.03%,200,476,,,
528,0.05%,494,0.60%,566,-10.87%,369,476,,,
735,0.38%,744,-1.34%,259,-8.76%,426,476,,,
909,-0.27%,237,1.52%,688,-5.68%,504,476,,,
427,0.08%,536,3.70%,853,-27.84%,47,479,,,
836,-0.93%,95,2.62%,779,-3.23%,562,479,,,
650,-2.06%,26,0.09%,479,49.02%,931,479,,,
999,-0.48%,170,-1.00%,318,63.84%,951,480,,,
668,-1.38%,56,0.00%,462,44.51%,922,480,,,
770,0.17%,590,0.21%,495,-11.26%,356,480,,,
910,0.63%,855,-2.92%,98,-6.50%,488,480,,,
18,-0.46%,176,1.60%,702,-3.06%,564,481,,,
916,-0.10%,354,0.35%,523,-2.96%,568,482,,,
87,0.76%,898,-0.19%,437,-23.65%,111,482,,,
76,0.54%,822,0.36%,525,-25.24%,100,482,,,
212,-0.07%,392,2.40%,764,-13.62%,293,483,,,
758,0.34%,718,-1.29%,268,-7.26%,463,483,,,
710,0.05%,503,-1.47%,235,6.84%,712,483,,,
707,0.56%,837,-1.53%,226,-10.19%,389,484,,,
761,0.08%,535,-0.61%,376,-4.09%,543,485,,,
685,-3.36%,8,0.00%,461,172.22%,986,485,,,
155,-4.88%,3,0.00%,460,279.22%,998,487,,,
941,-0.22%,266,3.45%,842,-11.29%,354,487,,,
634,-0.30%,215,1.25%,657,-1.43%,597,490,,,
570,-0.10%,357,4.74%,887,-17.13%,226,490,,,
781,0.05%,504,0.10%,482,-6.60%,484,490,,,
939,-0.26%,238,4.74%,886,-11.51%,347,490,,,
517,-0.61%,136,0.49%,552,13.23%,783,490,,,
216,0.25%,660,0.74%,601,-17.65%,212,491,,,
281,-0.94%,94,8.37%,951,-8.75%,428,491,,,
525,-0.08%,377,0.66%,583,-5.34%,514,491,,,
174,0.04%,487,-1.15%,291,5.41%,698,492,,,
658,-0.25%,245,0.06%,474,10.00%,757,492,,,
305,-0.40%,187,-0.56%,383,37.89%,906,492,,,
435,0.68%,874,0.38%,528,-26.01%,80,494,,,
840,0.15%,578,1.10%,639,-14.68%,270,496,,,
219,0.19%,612,-0.33%,421,-7.47%,455,496,,,
618,0.18%,608,3.48%,843,-28.98%,38,496,,,
655,0.07%,525,-2.42%,134,22.32%,835,498,,,
59,0.02%,473,5.27%,908,-23.28%,115,499,,,
931,0.28%,678,0.90%,621,-18.07%,198,499,,,
704,0.18%,607,-1.16%,289,-1.16%,601,499,,,
527,0.38%,739,-0.34%,418,-11.65%,342,500,,,
407,0.42%,764,1.94%,729,-31.55%,12,502,,,
446,1.02%,942,-1.44%,239,-12.32%,324,502,,,
585,0.65%,867,-6.65%,18,-0.07%,620,502,,,
827,0.12%,558,1.92%,724,-17.18%,224,502,,,
304,-0.84%,101,0.90%,620,13.73%,785,502,,,
581,0.46%,790,0.13%,485,-16.68%,232,502,,,
839,-0.17%,297,1.41%,675,-4.42%,536,503,,,
382,0.32%,706,1.93%,727,-26.27%,76,503,,,
419,0.18%,596,3.20%,826,-25.71%,89,504,,,
942,-0.19%,289,4.91%,895,-12.24%,327,504,,,
429,0.81%,910,0.19%,493,-24.40%,109,504,,,
97,1.01%,940,0.46%,546,-29.75%,27,504,,,
549,0.11%,556,-0.16%,440,-5.08%,522,506,,,
133,0.01%,456,-1.52%,229,22.02%,833,506,,,
703,0.01%,453,0.30%,514,-3.66%,552,506,,,
437,0.69%,878,0.36%,526,-23.18%,117,507,,,
773,0.27%,671,0.42%,540,-12.62%,311,507,,,
537,-0.37%,195,0.48%,547,12.28%,780,507,,,
315,0.42%,767,-0.08%,451,-12.89%,305,508,,,
865,0.47%,793,-2.93%,96,1.17%,634,508,,,
471,-1.04%,82,0.69%,589,26.42%,852,508,,,
513,-3.07%,10,0.48%,549,87.31%,965,508,,,
387,0.23%,645,3.75%,855,-29.81%,25,508,,,
63,0.61%,850,0.49%,550,-22.67%,126,509,,,
192,-0.25%,247,2.71%,792,-6.51%,487,509,,,
436,0.16%,583,3.59%,849,-25.21%,101,511,,,
412,0.45%,787,1.43%,676,-26.44%,74,512,,,
7,-0.76%,112,2.65%,785,1.77%,641,513,,,
895,-0.58%,143,1.71%,713,4.59%,683,513,,,
22,-2.51%,17,3.36%,833,4.84%,689,513,,,
926,0.44%,781,-0.78%,351,-9.39%,408,513,,,
594,0.07%,519,6.76%,931,-25.57%,91,514,,,
749,-0.15%,316,2.35%,757,-7.05%,468,514,,,
44,0.33%,715,1.46%,681,-21.14%,147,514,,,
544,0.42%,766,-1.23%,281,-6.26%,496,514,,,
477,0.82%,912,-11.23%,5,0.35%,627,515,,,
610,0.71%,883,1.19%,653,-31.87%,9,515,,,
288,0.45%,786,-2.37%,138,0.10%,621,515,,,
467,-1.73%,38,0.65%,581,46.76%,927,515,,,
837,0.49%,806,-2.39%,137,-0.96%,604,516,,,
811,0.00%,445,1.60%,701,-9.59%,402,516,,,
492,0.02%,467,2.56%,774,-12.71%,308,516,,,
783,0.04%,490,0.67%,586,-6.83%,475,517,,,
760,0.09%,543,0.29%,513,-6.30%,495,517,,,
736,0.10%,552,0.85%,612,-10.21%,388,517,,,
448,0.97%,935,-2.80%,104,-5.44%,513,517,,,
339,-0.08%,381,0.39%,531,2.02%,643,518,,,
197,-0.07%,389,3.23%,827,-11.70%,340,519,,,
782,0.18%,604,0.10%,481,-6.94%,473,519,,,
213,0.41%,759,0.40%,534,-14.87%,267,520,,,
817,-0.30%,216,5.04%,899,-7.86%,446,520,,,
565,-0.83%,104,4.60%,881,-2.60%,580,522,,,
274,-1.19%,65,1.02%,633,29.21%,870,523,,,
255,0.34%,719,-0.07%,455,-10.00%,395,523,,,
776,-0.11%,346,2.06%,738,-6.57%,485,523,,,
282,0.02%,469,-1.40%,247,26.43%,853,523,,,
391,0.25%,663,2.12%,746,-20.48%,162,524,,,
759,-0.06%,398,1.49%,684,-6.50%,489,524,,,
669,-1.45%,54,0.55%,561,67.63%,956,524,,,
813,-0.11%,344,1.85%,722,-5.63%,506,524,,,
293,-0.83%,103,1.18%,651,19.70%,818,524,,,
348,0.03%,481,-0.63%,370,7.29%,722,524,,,
184,0.41%,761,-8.46%,12,16.84%,800,524,,,
105,0.68%,875,0.72%,597,-25.16%,102,525,,,
191,0.29%,691,-1.77%,189,5.16%,694,525,,,
11,0.37%,733,-0.61%,375,-7.08%,467,525,,,
121,0.99%,937,-3.20%,85,-3.65%,553,525,,,
985,0.28%,677,0.72%,596,-12.77%,306,526,,,
335,0.18%,600,-0.76%,354,0.33%,626,527,,,
649,-0.24%,251,0.00%,463,28.87%,866,527,,,
550,0.42%,765,-0.55%,384,-8.26%,433,527,,,
464,-0.27%,234,-0.49%,391,67.66%,957,527,,,
847,-0.24%,253,3.95%,863,-6.98%,471,529,,,
844,0.45%,783,-0.87%,336,-7.01%,469,529,,,
54,0.34%,717,3.02%,817,-27.39%,55,530,,,
958,0.40%,755,0.93%,626,-17.77%,208,530,,,
871,0.12%,561,1.27%,661,-10.87%,368,530,,,
469,-0.31%,211,1.11%,642,8.79%,739,531,,,
805,0.44%,780,-4.46%,43,11.50%,771,531,,,
900,0.19%,623,-0.44%,402,-2.93%,570,532,,,
338,-0.21%,275,0.34%,522,16.61%,798,532,,,
660,-0.97%,89,1.47%,682,20.90%,827,533,,,
606,0.80%,903,-0.07%,458,-16.22%,238,533,,,
970,0.37%,736,0.70%,592,-14.63%,271,533,,,
402,-0.10%,353,7.77%,943,-12.94%,303,533,,,
807,-1.10%,75,0.81%,606,43.38%,918,533,,,
845,0.08%,530,1.83%,721,-11.33%,351,534,,,
280,0.05%,500,1.70%,712,-10.16%,390,534,,,
35,-3.08%,9,3.04%,818,11.59%,775,534,,,
17,0.65%,865,-2.24%,150,-1.93%,588,534,,,
318,0.36%,729,1.51%,686,-18.36%,192,536,,,
261,0.24%,658,0.51%,555,-9.90%,396,536,,,
793,0.47%,795,-1.34%,258,-3.40%,558,537,,,
494,0.62%,854,-9.44%,7,9.52%,752,538,,,
321,0.55%,827,-1.63%,209,-2.71%,578,538,,,
629,0.58%,841,-0.12%,446,-12.22%,329,539,,,
794,0.59%,845,-2.56%,123,2.42%,651,540,,,
363,0.03%,483,-0.50%,390,9.06%,746,540,,,
726,-0.39%,190,2.65%,783,2.15%,647,540,,,
396,0.65%,864,1.64%,705,-27.48%,53,541,,,
548,0.05%,497,1.79%,718,-9.30%,410,542,,,
286,-0.05%,405,1.73%,715,-5.67%,505,542,,,
92,2.43%,988,-0.35%,416,-16.71%,230,545,,,
906,-1.48%,51,3.85%,859,7.51%,724,545,,,
122,-1.34%,58,5.22%,906,3.93%,671,545,,,
626,0.45%,785,-0.06%,459,-10.10%,392,545,,,
27,-0.75%,114,8.37%,952,-2.89%,573,546,,,
526,-0.24%,250,6.68%,930,-7.26%,462,547,,,
976,1.39%,965,-0.98%,320,-11.24%,358,548,,,
908,-0.23%,262,3.81%,858,-4.97%,525,548,,,
599,0.48%,797,2.79%,799,-27.58%,50,549,,,
723,0.20%,627,1.67%,707,-12.51%,313,549,,,
447,0.05%,499,2.47%,771,-10.70%,377,549,,,
868,0.35%,724,0.38%,530,-10.06%,393,549,,,
762,-0.10%,356,3.54%,847,-7.90%,444,549,,,
3,0.11%,555,-0.78%,348,8.93%,744,549,,,
994,0.00%,446,0.61%,572,0.77%,630,549,,,
697,-0.16%,311,0.65%,582,9.86%,755,549,,,
332,0.28%,679,1.93%,728,-16.02%,242,550,,,
772,0.37%,738,0.84%,611,-13.08%,301,550,,,
949,0.12%,565,0.80%,604,-6.65%,481,550,,,
342,0.38%,742,-0.66%,366,-4.12%,542,550,,,
422,0.43%,772,2.96%,812,-26.65%,68,551,,,
953,0.30%,693,1.95%,730,-16.68%,231,551,,,
100,0.77%,900,2.22%,749,-33.59%,6,552,,,
863,0.29%,683,0.64%,578,-10.02%,394,552,,,
369,0.38%,743,-1.62%,210,6.29%,704,552,,,
560,0.38%,741,2.32%,753,-20.43%,164,553,,,
131,-0.79%,108,1.03%,634,42.04%,916,553,,,
575,0.16%,584,4.84%,890,-18.56%,187,554,,,
722,0.29%,689,0.21%,497,-6.82%,476,554,,,
209,0.39%,752,-0.32%,425,-6.56%,486,554,,,
764,0.18%,602,0.91%,622,-8.08%,440,555,,,
889,-0.56%,148,1.44%,679,22.43%,837,555,,,
279,0.33%,716,1.18%,650,-13.19%,300,555,,,
663,0.23%,647,-0.79%,347,3.94%,672,555,,,
366,0.51%,810,-2.71%,109,9.12%,748,556,,,
690,-0.48%,172,0.65%,580,41.95%,915,556,,,
392,0.30%,694,5.69%,917,-27.08%,58,556,,,
454,0.56%,830,-2.06%,165,4.13%,675,557,,,
440,-0.04%,410,3.07%,819,-7.99%,442,557,,,
25,-1.13%,72,8.56%,953,2.13%,646,557,,,
522,0.08%,533,1.45%,680,-7.29%,459,557,,,
694,0.14%,574,-0.90%,331,11.35%,768,558,,,
325,0.35%,722,1.53%,691,-14.95%,265,559,,,
920,0.67%,871,-0.88%,335,-6.86%,474,560,,,
701,0.53%,819,-1.42%,243,-0.22%,618,560,,,
457,1.34%,962,0.61%,573,-21.14%,148,561,,,
208,-0.22%,267,2.31%,751,3.66%,668,562,,,
329,-0.13%,326,3.65%,851,-5.53%,510,562,,,
244,-0.20%,276,0.90%,619,15.43%,794,563,,,
905,0.23%,652,-1.25%,280,10.07%,759,564,,,
236,0.40%,754,2.82%,802,-21.85%,139,565,,,
768,0.44%,778,0.44%,543,-10.74%,375,565,,,
340,0.16%,582,-0.07%,457,2.98%,658,566,,,
113,2.07%,984,-0.34%,419,-13.35%,297,567,,,
890,-0.31%,210,0.76%,602,33.72%,890,567,,,
912,0.08%,532,0.35%,524,2.18%,648,568,,,
639,0.38%,746,-1.19%,285,4.04%,674,568,,,
604,0.59%,844,3.34%,832,-29.61%,30,569,,,
262,0.67%,873,-1.25%,279,-3.62%,554,569,,,
21,0.63%,859,-1.19%,284,-3.00%,566,570,,,
275,0.28%,674,-0.94%,323,6.92%,713,570,,,
520,-0.06%,401,3.92%,861,-7.83%,449,570,,,
956,0.26%,665,3.45%,841,-17.85%,206,571,,,
784,0.18%,599,0.67%,585,-4.53%,532,572,,,
176,0.24%,655,-0.21%,436,0.30%,625,572,,,
897,-0.15%,318,2.67%,786,-0.40%,614,573,,,
932,0.17%,589,4.70%,885,-15.96%,245,573,,,
81,1.64%,978,1.74%,716,-29.78%,26,573,,,
630,0.17%,592,1.29%,663,-7.10%,466,574,,,
432,0.56%,832,2.69%,788,-24.98%,103,574,,,
117,0.72%,887,1.72%,714,-23.04%,124,575,,,
947,0.06%,512,6.59%,928,-14.03%,286,575,,,
300,0.84%,916,-2.92%,97,7.02%,717,577,,,
534,0.57%,838,-1.13%,292,-0.97%,603,578,,,
786,0.55%,829,-0.65%,367,-4.24%,540,579,,,
453,0.25%,659,-0.15%,443,1.17%,635,579,,,
24,-0.14%,322,2.99%,816,-1.26%,600,579,,,
188,0.64%,862,-3.69%,63,18.69%,814,580,,,
473,-2.16%,22,3.10%,822,34.99%,896,580,,,
445,0.73%,893,1.14%,646,-17.95%,203,581,,,
584,-0.32%,209,10.01%,969,-2.95%,569,582,,,
380,-0.23%,261,9.07%,959,-4.63%,529,583,,,
850,-0.19%,288,4.58%,880,-2.40%,581,583,,,
95,-0.72%,118,10.45%,976,3.06%,659,584,,,
431,0.58%,840,2.86%,805,-23.37%,113,586,,,
350,0.53%,818,-1.76%,191,9.44%,750,586,,,
816,0.12%,564,2.33%,754,-7.92%,443,587,,,
12,1.03%,943,-1.46%,238,-2.39%,582,588,,,
283,0.65%,869,0.55%,559,-11.84%,337,588,,,
270,0.33%,712,-1.35%,253,16.88%,801,589,,,
228,0.26%,666,6.38%,924,-19.01%,178,589,,,
583,0.80%,905,-1.47%,234,0.58%,629,589,,,
898,-0.09%,367,1.78%,717,4.61%,684,589,,,
146,-0.56%,147,1.16%,648,118.69%,974,590,,,
859,0.05%,506,8.15%,948,-12.46%,317,590,,,
636,0.51%,811,0.33%,521,-8.12%,439,590,,,
486,0.65%,866,1.81%,719,-18.47%,189,591,,,
426,0.56%,831,4.96%,896,-27.76%,48,592,,,
964,0.16%,585,7.17%,935,-15.39%,259,593,,,
902,0.54%,823,-0.48%,396,-3.34%,561,593,,,
254,-0.49%,167,2.43%,767,26.07%,847,594,,,
929,0.59%,843,0.42%,538,-9.69%,401,594,,,
995,1.49%,971,-2.57%,120,5.08%,691,594,,,
737,-0.16%,309,4.64%,883,-1.65%,592,595,,,
695,0.85%,918,-2.36%,140,7.88%,727,595,,,
78,0.77%,901,2.97%,813,-26.47%,72,595,,,
951,0.08%,541,8.64%,955,-13.67%,291,596,,,
821,0.21%,633,6.20%,921,-16.33%,236,597,,,
675,-0.25%,248,0.78%,603,55.85%,939,597,,,
567,1.01%,938,1.30%,664,-18.42%,191,598,,,
856,0.60%,848,1.92%,725,-17.43%,220,598,,,
37,0.55%,828,-0.42%,405,-3.38%,560,598,,,
731,0.81%,908,-1.20%,283,-1.01%,602,598,,,
378,0.48%,798,2.44%,768,-16.76%,229,598,,,
608,-0.08%,378,8.85%,957,-7.28%,460,598,,,
653,-1.77%,33,2.91%,807,67.28%,955,598,,,
55,0.78%,902,3.53%,846,-27.59%,49,599,,,
718,0.57%,839,0.42%,541,-8.97%,418,599,,,
563,0.23%,653,2.03%,735,-9.27%,413,600,,,
498,0.23%,646,-1.27%,272,32.50%,883,600,,,
785,0.18%,603,1.32%,665,-4.43%,535,601,,,
180,-0.23%,259,2.65%,784,10.52%,760,601,,,
98,0.95%,932,4.24%,871,-34.01%,3,602,,,
82,1.15%,951,2.39%,762,-25.55%,93,602,,,
246,0.53%,820,3.09%,820,-19.79%,168,603,,,
415,-0.17%,299,4.10%,866,2.07%,645,603,,,
202,-0.14%,320,9.93%,967,-5.02%,524,604,,,
41,0.83%,913,0.64%,579,-12.40%,320,604,,,
26,0.30%,699,0.72%,595,-5.13%,520,605,,,
855,0.32%,709,3.38%,836,-14.58%,272,606,,,
679,0.63%,856,-5.97%,23,55.51%,938,606,,,
381,0.81%,911,2.04%,736,-19.70%,171,606,,,
278,0.17%,595,5.09%,902,-12.36%,323,607,,,
733,0.08%,529,4.14%,867,-8.77%,424,607,,,
556,-0.13%,330,9.49%,963,-4.73%,527,607,,,
885,0.56%,836,-2.12%,160,20.74%,825,607,,,
129,0.41%,760,-1.62%,211,26.41%,851,607,,,
913,0.00%,451,4.29%,872,-5.99%,500,608,,,
501,-0.34%,204,1.32%,666,73.36%,960,610,,,
713,-0.03%,417,2.93%,809,-0.93%,605,610,,,
290,-1.85%,31,10.43%,974,20.82%,826,610,,,
103,0.63%,858,5.20%,905,-26.56%,70,611,,,
134,-0.44%,179,2.64%,782,29.70%,872,611,,,
357,-0.98%,85,6.00%,920,21.22%,830,612,,,
826,0.41%,762,2.73%,793,-14.32%,281,612,,,
109,0.61%,851,3.50%,844,-21.51%,142,612,,,
468,-0.96%,90,3.37%,834,41.85%,914,613,,,
674,-0.71%,121,2.75%,796,44.50%,921,613,,,
317,0.69%,879,1.41%,671,-13.66%,292,614,,,
328,0.48%,796,2.06%,739,-12.69%,310,615,,,
29,0.59%,846,0.27%,507,-6.33%,494,616,,,
972,0.37%,737,1.26%,658,-7.51%,454,616,,,
810,0.15%,581,1.11%,640,0.37%,628,616,,,
497,0.84%,917,-4.24%,48,32.91%,884,616,,,
123,-0.63%,134,11.77%,983,8.36%,733,617,,,
561,0.95%,933,1.97%,732,-18.44%,190,618,,,
755,0.02%,471,1.61%,703,4.50%,682,619,,,
729,0.52%,813,-0.80%,344,5.50%,699,619,,,
483,-0.29%,217,2.07%,740,35.74%,900,619,,,
937,0.39%,750,3.65%,850,-15.39%,258,619,,,
922,0.19%,619,0.83%,608,0.89%,632,620,,,
251,0.64%,861,2.85%,804,-18.21%,195,620,,,
809,-0.14%,321,4.84%,889,2.30%,650,620,,,
181,0.03%,478,0.74%,599,13.67%,784,620,,,
593,0.29%,686,18.68%,995,-18.81%,181,621,,,
989,0.39%,751,1.57%,697,-9.15%,414,621,,,
930,0.49%,803,0.93%,627,-8.29%,432,621,,,
538,-0.10%,350,2.16%,748,10.75%,764,621,,,
124,0.72%,888,-0.77%,352,0.23%,623,621,,,
241,0.38%,747,8.95%,958,-20.57%,160,622,,,
918,0.09%,548,5.75%,918,-9.72%,399,622,,,
767,0.07%,528,2.80%,800,-4.37%,537,622,,,
299,0.35%,725,-0.59%,379,10.62%,762,622,,,
681,0.68%,876,-6.23%,21,113.23%,973,623,,,
354,-0.51%,161,3.74%,854,27.14%,858,624,,,
578,0.19%,616,11.16%,980,-14.35%,278,625,,,
344,0.01%,454,2.42%,765,2.88%,657,625,,,
295,-0.16%,305,2.37%,758,20.47%,822,628,,,
292,0.93%,931,-1.71%,198,10.06%,758,629,,,
384,-0.53%,155,8.00%,944,14.07%,788,629,,,
182,0.29%,690,-0.13%,445,9.67%,753,629,,,
152,0.66%,870,-5.75%,28,195.92%,991,630,,,
788,-0.12%,336,2.77%,798,9.91%,756,630,,,
891,-0.01%,442,0.60%,568,32.48%,882,631,,,
1000,-0.54%,151,2.74%,795,61.95%,947,631,,,
747,0.23%,648,5.36%,909,-11.79%,338,632,,,
514,-0.08%,383,0.50%,554,73.93%,961,633,,,
623,1.60%,977,1.90%,723,-18.03%,201,634,,,
16,-0.15%,315,8.13%,947,1.44%,639,634,,,
489,-0.29%,221,2.50%,773,39.01%,908,634,,,
542,0.46%,792,0.00%,468,2.03%,644,635,,,
516,-0.58%,138,8.30%,949,19.59%,817,635,,,
903,-0.27%,229,14.04%,990,4.72%,686,635,,,
187,-0.49%,169,8.72%,956,12.59%,781,635,,,
345,0.19%,611,1.14%,645,2.44%,652,636,,,
540,0.11%,554,2.10%,744,-0.48%,612,637,,,
833,0.07%,526,1.17%,649,8.79%,740,638,,,
509,1.55%,974,-3.18%,86,26.70%,856,639,,,
496,-0.82%,105,5.48%,913,35.31%,898,639,,,
61,0.97%,934,3.90%,860,-23.05%,123,639,,,
803,-0.02%,427,0.60%,567,44.83%,923,639,,,
742,0.08%,538,1.24%,656,7.67%,725,640,,,
285,-0.33%,207,3.53%,845,29.19%,868,640,,,
901,0.80%,904,0.09%,478,-4.13%,541,641,,,
831,0.48%,799,0.63%,575,-3.69%,550,641,,,
899,0.29%,684,0.61%,570,4.33%,678,644,,,
74,1.03%,944,2.05%,737,-15.51%,254,645,,,
225,0.19%,613,2.63%,781,-4.03%,545,646,,,
744,0.22%,639,1.64%,704,-1.45%,596,646,,,
361,0.36%,731,0.74%,600,-0.78%,608,646,,,
589,-0.21%,268,9.44%,962,6.60%,709,646,,,
331,0.60%,847,-0.79%,345,9.48%,751,648,,,
536,0.12%,562,1.41%,673,6.65%,710,648,,,
167,-2.74%,16,7.30%,941,175.76%,988,648,,,
741,0.32%,711,0.26%,504,8.27%,731,649,,,
2,-0.13%,329,5.06%,900,7.19%,720,650,,,
190,-1.13%,73,19.64%,996,31.98%,880,650,,,
358,-0.22%,265,4.42%,876,18.49%,810,650,,,
153,-1.58%,45,5.45%,911,233.56%,995,650,,,
864,0.44%,776,2.08%,742,-8.25%,435,651,,,
664,0.61%,852,-1.13%,294,18.13%,808,651,,,
272,-0.27%,231,4.46%,878,25.96%,846,652,,,
738,0.49%,805,-0.09%,450,5.77%,701,652,,,
678,1.79%,979,-4.52%,41,53.06%,936,652,,,
801,-0.09%,374,2.31%,752,21.70%,832,653,,,
239,0.08%,539,2.03%,734,4.84%,688,654,,,
203,0.89%,929,-0.07%,454,-2.69%,579,654,,,
373,0.56%,835,0.16%,487,1.91%,642,655,,,
743,0.02%,475,2.67%,787,5.89%,702,655,,,
686,-1.67%,42,6.53%,926,249.45%,996,655,,,
126,0.83%,914,-0.24%,432,-0.08%,619,655,,,
259,0.74%,896,2.95%,811,-15.34%,260,656,,,
151,-5.22%,2,12.17%,984,168.13%,985,657,,,
555,-0.20%,280,10.18%,971,7.20%,721,657,,,
677,0.65%,868,-2.04%,167,54.31%,937,657,,,
654,-0.11%,345,1.51%,687,58.76%,942,658,,,
651,1.50%,973,-3.33%,75,48.10%,928,659,,,
198,0.52%,815,3.25%,828,-12.03%,334,659,,,
144,-1.15%,70,7.17%,936,110.66%,972,659,,,
531,-0.05%,407,5.39%,910,3.33%,663,660,,,
666,1.49%,972,-2.56%,124,33.10%,885,660,,,
451,0.90%,930,0.92%,624,-8.69%,430,661,,,
927,0.35%,723,4.87%,891,-10.83%,371,662,,,
478,0.03%,480,2.08%,741,10.90%,765,662,,,
84,1.22%,956,2.45%,769,-15.09%,263,663,,,
796,-0.07%,387,7.18%,937,3.55%,666,663,,,
789,0.07%,524,2.58%,776,4.88%,690,663,,,
518,-0.21%,271,10.59%,978,8.83%,741,663,,,
166,1.28%,960,-3.91%,55,124.64%,975,663,,,
539,-0.01%,438,4.03%,864,5.22%,695,666,,,
974,0.44%,774,4.09%,865,-11.23%,359,666,,,
194,0.18%,598,9.34%,961,-8.04%,441,667,,,
158,-2.98%,13,14.03%,989,323.49%,999,667,,,
154,4.27%,996,-8.62%,11,267.54%,997,668,,,
896,0.23%,649,0.85%,613,8.89%,743,668,,,
491,0.35%,726,-0.58%,380,35.39%,899,668,,,
888,0.70%,882,-1.09%,304,20.12%,821,669,,,
545,0.43%,771,3.17%,823,-9.13%,416,670,,,
499,1.59%,976,-2.70%,110,46.50%,926,671,,,
480,0.69%,877,-0.79%,346,14.73%,792,672,,,
173,0.17%,593,1.11%,641,14.06%,787,674,,,
441,0.28%,673,6.54%,927,-8.87%,422,674,,,
162,-1.68%,41,23.50%,999,162.11%,983,674,,,
777,0.20%,626,5.11%,903,-6.22%,497,675,,,
893,-0.04%,409,2.87%,806,18.50%,811,675,,,
351,0.29%,685,0.99%,628,6.98%,715,676,,,
645,2.35%,986,-1.50%,232,18.53%,812,677,,,
892,0.00%,448,1.92%,726,26.91%,857,677,,,
795,-0.13%,328,17.76%,994,6.95%,714,679,,,
993,0.08%,531,3.67%,852,2.76%,656,680,,,
493,1.43%,966,-1.10%,300,11.60%,776,681,,,
991,0.56%,834,1.05%,637,-2.90%,572,681,,,
495,0.44%,777,-0.60%,377,34.14%,892,682,,,
32,0.86%,923,-0.49%,394,8.29%,732,683,,,
505,-0.65%,131,12.93%,986,49.19%,932,683,,,
179,1.02%,941,-0.86%,337,11.51%,772,683,,,
307,0.89%,927,-0.67%,365,11.51%,774,689,,,
372,0.81%,909,2.97%,814,-11.59%,346,690,,,
349,0.72%,884,0.00%,470,6.99%,716,690,,,
116,0.51%,809,3.26%,829,-8.25%,434,691,,,
10,0.50%,808,2.60%,778,-6.45%,491,692,,,
346,0.28%,680,1.57%,696,6.14%,703,693,,,
36,1.05%,946,-1.09%,303,22.26%,834,694,,,
171,-0.68%,126,30.27%,1000,82.67%,963,696,,,
172,-0.21%,269,11.38%,981,25.03%,843,698,,,
511,-0.12%,334,3.10%,821,56.72%,940,698,,,
168,-0.75%,115,16.62%,993,175.50%,987,698,,,
923,0.49%,804,2.70%,791,-5.96%,501,699,,,
23,0.60%,849,0.60%,565,5.15%,692,702,,,
452,0.19%,620,5.01%,897,-1.68%,591,703,,,
587,0.03%,485,3.77%,857,10.93%,766,703,,,
705,0.43%,773,4.23%,870,-6.77%,477,707,,,
310,-0.40%,188,13.34%,987,65.34%,953,709,,,
1,0.44%,775,1.28%,662,5.23%,696,711,,,
984,0.32%,710,8.59%,954,-6.96%,472,712,,,
19,0.53%,821,2.37%,759,-3.41%,556,712,,,
508,-0.09%,368,3.56%,848,45.60%,925,714,,,
39,0.38%,745,4.14%,868,-4.52%,533,715,,,
757,0.30%,695,2.81%,801,3.11%,660,719,,,
303,1.58%,975,9.57%,966,-17.45%,219,720,,,
867,-0.16%,302,11.64%,982,31.95%,878,721,,,
127,0.86%,920,1.00%,630,-0.23%,617,722,,,
553,0.43%,770,1.58%,698,6.52%,708,725,,,
6,0.86%,921,0.70%,593,3.66%,667,727,,,
696,0.27%,672,2.84%,803,7.31%,723,733,,,
665,-0.08%,382,9.53%,965,27.73%,859,735,,,
472,0.26%,667,1.41%,674,28.86%,865,735,,,
14,1.23%,958,0.32%,519,8.21%,730,736,,,
175,0.06%,513,9.50%,964,8.79%,738,738,,,
204,0.26%,668,10.20%,972,-2.38%,583,741,,,
687,0.20%,625,1.26%,659,63.53%,950,745,,,
177,0.27%,670,5.02%,898,3.78%,669,746,,,
138,2.42%,987,-0.81%,343,40.96%,911,747,,,
